keyphrase,mean_abs_shap
abandoned,0.0026037210286441598
alchemical creatures,5.1269522309509154e-05
alien,0.002136753220865433
alien planet,2.8409205555948512e-05
android cyborg,0.0
anime,0.003487644340824822
anime colors,0.0017015514732677543
anime epic,0.0014517868978859874
armor daedric,0.0005701200190537784
art,0.020003210460103976
art artgerm,0.006760256460253555
art city,0.00010881947760657613
art hyperrealistic,0.00036901030678309233
art josan,0.002518828367231955
art lifelike,0.0005754167498689234
art punk,9.627309430049099e-05
art realistic,0.0025787992383187745
art sharp,0.0028486416515115538
art smooth,0.009669783512704557
art style,0.0015885329789824159
art thorough,0.005149036137831857
art trending,0.004498253277078722
artistic,0.006885533528000428
artistic painting,0.0018002081585005217
artstation,0.01496729373211443
artstation cinematic,0.0008542765517499768
artstation galaxy,0.001863150541911233
artstation hyperrealism,0.00019266917433902802
artwork,0.0036513077883339818
atmospheric lighting,0.003922099469437713
avant garde,0.0008170842266276063
azores,0.0015291519714158738
azores islands,0.000500818807025142
beautiful landscape,0.0018093091332659357
beneath cherry,0.0013630568781520015
bjork,0.00039690296534321
black,0.0037186817803861205
blinders photography,0.002985752822354567
body manga,0.004359570122225966
body portrait,0.004433284339159835
body shot,7.70739923390511e-06
bonsai,0.0022822123862598466
bonsai tree,0.0038564563057531774
bosch,0.0004482970879887197
bull looking,0.0005455849657205992
bull modeled,0.0007447192092459645
butterfly volumetric,0.0019038999051279764
camera,0.00660355952226118
candle butterfly,0.0017578572504330686
candle volumetric,0.0002312804730187363
canvas,0.0021696362439352847
castle,0.006528586236898949
cat,0.005443968667581177
century modern,0.001006627090807547
character portrait,0.004843513391361595
cinematic,0.004183242177114204
cinematic composition,0.0014326118734467367
cinematic deviantart,0.00683814545044929
city,0.0039158813517813145
clouds,0.0020370239690288205
clouds madeira,0.00021693820164344087
collage canvas,0.00019441806684286744
colossal,0.0020369746350792535
colossal goddess,0.004674070226585329
comic book,0.00242277898425927
comprehensive art,0.0037484566292376557
concept art,0.011366622681260844
contemporary art,1.2291876643290076e-05
cosmic,0.00025139016013319467
creatures surreal,9.883146509500814e-05
cute fluffy,0.0005986572003676275
cyberpunk,0.007297991618447122
cyberpunk art,4.886242928631973e-05
cyborg,0.0033184205466321092
cyborg bull,0.0
daedric armor,4.89127529155382e-05
dark,0.0029485241045455733
dark uncanny,0.003147734923954047
design,0.003487034374238905
detailed painting,0.0013345491426358382
detailed portrait,0.0013685531506882128
detailed ultra,0.0072905751072762336
details intricate,0.001847007211353192
detective pikachu,0.0006061193746108237
deviantart,0.006618370922187082
deviantart hyperrealistic,0.0015986194992343506
deviantart realistic,0.005191722837621306
digital art,0.005862072177344743
digital painting,0.0052043480110310816
digital render,0.00014292628708602204
divine,0.0014869691155653855
divine pink,0.0014407907849633887
donald,0.0004656312950706078
dragon,0.004160092555052358
dramatic lighting,0.0015884621933015682
drawing,0.0018270326049538079
dunmer nerevarine,3.9970290357179955e-05
earth,0.001616757181132218
edwardian photograph,0.0021499590448401397
einstein,0.005028077364568724
einstein portrait,0.001773115940190767
elf,0.00830328878531385
elson,0.008877907942174574
emo punk,0.0019824066784311094
engine,0.0016048524233493002
entries sony,0.0013686276641326801
fantasy art,0.010497371388745694
fantasy painting,0.0035590032303564278
fantasy style,0.001126346843739717
faroe azores,0.0026621360150692413
fashion clouds,0.0014813131249955531
fiction,0.0013586876157747985
fiction film,0.004302067269354506
fiery alchemical,0.0001780302436225136
fifth element,0.0005065285800483577
film,0.0028384329906006
film neuromancer,0.0011079319855036435
fine artistic,0.0013661062339045509
flamingos,0.0014336917451720995
flowers,0.0006328607548169118
fluffy,0.003218681396571107
forest,0.0005435089435265148
frazetta,0.004892846672750933
frazetta giger,0.0034245625639036897
futuristic,0.0027057505114024246
garden,0.0008463403910111271
garden intricate,0.0018520506826271836
giant digital,0.0041620266577658376
glamorous sophisticated,0.002949295452061913
goddess,0.003140821088934006
goddess wearing,0.0004373639127868599
gonzalez,0.0025359698960533287
gordon,0.001372723531751069
