keyphrase,mean_abs_shap
abandoned,0.002025337296491587
alien,0.0011745205521444017
alien planet,0.0005906195093147744
android cyborg,0.0
anime,0.0021323340434107104
anime colors,5.916822901289439e-06
anime epic,0.00010777189859193438
armor daedric,0.0007110163030980938
art,0.016446230419969655
art artgerm,0.001798977998834953
art city,0.001451338194774741
art hyperrealistic,0.00023708681730938793
art josan,0.0002887525753525137
art lifelike,0.0005822711787837059
art punk,0.0
art realistic,0.002359769597982889
art sharp,0.004095201256981989
art smooth,0.004784290318211152
art style,0.0032044127619242618
art thorough,0.0030355367714975955
art trending,0.002226502487475116
artistic,0.001007155087407336
artistic painting,0.0006135785965946097
artstation,0.0066258172207603536
artstation cinematic,0.0017315178140747366
artstation galaxy,0.0007774019800578043
artstation hyperrealism,4.2421981072691505e-06
artwork,0.0027635168748630316
atmospheric lighting,0.00016690599101055407
avant garde,0.00041407486325246745
azores,0.0004884345663852647
azores islands,0.0007144331743088532
beautiful landscape,0.0006726559931237527
beneath cherry,0.0006679128896747934
bjork,0.00012177677100675029
black,0.004003165007835139
body manga,0.0022107050937565974
body portrait,0.0017875466285250884
body shot,0.0
bonsai,0.00024152070227053402
bonsai tree,0.0010299004266894583
bull looking,1.7209871683927273e-05
bull modeled,0.0
butterfly volumetric,0.00020332860319937927
camera,0.0020744207761174468
candle butterfly,8.274724558284121e-05
candle volumetric,0.0010169677320107109
canvas,0.0019145914080133518
castle,0.0039776133482503275
castle enclosed,0.0005376480954569586
cat,0.001610114762669036
century,0.0003486232062080223
century modern,0.0003741778505317828
character portrait,0.0028757066961755517
chris,0.001108131097525948
chris foss,0.0006342990206259529
churches domes,0.0007299075072101113
cinematic,0.0016798021033703006
cinematic composition,0.0011385175029191546
cinematic deviantart,0.001179123168228239
city,0.0025496282852439487
cloud fashion,0.0008387572403748092
clouds,0.0005496228709034236
clouds covered,2.3653560057981476e-05
clouds girl,5.541509156759997e-05
clouds madeira,0.0006883623421711074
collage canvas,3.7071472386923957e-06
colors,0.00024954659917539486
colossal,0.00016036441141585662
colossal goddess,0.0013380403736220898
comprehensive art,0.0020690182848074486
concept art,0.003920589782483144
contemporary art,1.8908253456854584e-05
cute fluffy,0.0003234273777041027
cyberpunk,0.0030852445400865332
cyborg,0.003133581827888055
cyborg body,6.401951079195952e-05
cyborg bull,1.4218864310021453e-05
daedric armor,0.0008080567605582957
dark,0.0021603529105378647
dark uncanny,6.250962569155551e-05
detailed painting,0.0016540087361356453
detailed portrait,0.0009009897020249558
detailed ultra,0.004205880293023827
details intricate,0.00011925723958239391
detective pikachu,0.0014743089736350954
deviantart,0.0083045756721582
deviantart hyperrealistic,0.00018094172103945915
deviantart realistic,0.0011779709729061454
digital art,0.004653750177312148
digital painting,0.007780105261219818
digital render,0.0007144365171358102
divine,0.00016848989207565032
divine pink,6.169175247975168e-06
dog,0.001639873439649082
donald,0.0006914647616447504
dragon,0.0029417672071857083
dramatic lighting,0.00019299280367984168
drawing,0.0012317574550678887
dunmer nerevarine,0.000771457396092265
einstein,0.0006360783470038013
elf,0.006448876524716345
elson,0.0011453112599534802
emo,0.0006142585247710202
emo punk,0.0008354433896771596
engine,0.0008655919122916113
entries sony,0.001003253863495833
fantasy art,0.004049111006636161
fantasy painting,0.0017031387001320037
