keyphrase,mean_abs_shap
abandoned,0.0009465866161294775
alien,0.0015907898757876553
alien planet,4.679641147237049e-05
android cyborg,2.7006115970557615e-05
anime,0.005589316036409035
anime colors,0.000954308313848219
anime epic,0.0010187100436665538
armor daedric,0.00037260088811005295
art,0.013373633084054504
art artgerm,0.0017903992853150114
art city,0.0012096777507227248
art hyperrealistic,0.0002388892580398834
art josan,0.0001420486774977155
art lifelike,0.0009803202276400151
art punk,1.9909951121853364e-05
art realistic,0.0028554897944570957
art sharp,0.0025748963042317267
art smooth,0.008946503943722428
art style,0.0032378870708930797
art thorough,0.002423353106635701
art trending,0.004219051748654811
artistic,0.001232802270491356
artistic painting,0.0010643864924668798
artstation,0.005026422289372873
artstation cinematic,0.0011183327225955874
artstation galaxy,0.0008775685265116091
artstation hyperrealism,8.3043386250713e-05
artwork,0.00043051975226322646
atmospheric lighting,0.0003272662235235968
avant garde,0.0022358118616532356
azores,0.0016909172396403882
azores islands,0.000883569812821898
beautiful landscape,0.00047510927172724876
beneath cherry,3.775574012292162e-05
bjork,0.0003165844978909079
black,0.002303678918136333
body manga,0.0028093112783642
body portrait,0.0014081787290024371
body shot,1.6224408536393828e-05
bonsai,0.0007114349782393498
bonsai tree,0.0006427459841593687
bull looking,6.277454806642896e-05
bull modeled,1.0123088444248894e-05
butterfly volumetric,0.00046891399525984627
camera,0.00028871921763754107
candle butterfly,0.00012727926075778114
candle volumetric,0.0011812113005545803
canvas,0.001074985274632748
castle,0.005086803856654746
castle enclosed,0.0008899301370630178
cat,0.00044281546503276815
century,0.001244544912018604
century modern,0.0016383795725171471
character portrait,0.002450120070898562
chris,0.0011852067048415073
chris foss,0.001070138380163717
churches domes,0.000795961906926504
cinematic,0.001771707290910466
cinematic composition,0.0021527057503366686
cinematic deviantart,0.001236584505464078
city,0.0013983212553578576
cloud fashion,0.0006997341499563947
clouds,0.0013237455010134693
clouds covered,5.658794102328059e-05
clouds girl,3.827453390213899e-05
clouds madeira,0.0014247325316145646
collage canvas,4.695061632501411e-06
colors,0.0013863576982563496
colossal,0.0006706805117352797
colossal goddess,0.0007934788258837189
comprehensive art,0.002617054718771306
concept art,0.003516102965918902
contemporary art,4.3585728217898645e-05
cute fluffy,0.0014026792500212806
cyberpunk,0.0027245258888759674
cyborg,0.004651603541110908
cyborg body,3.879169078386339e-05
cyborg bull,4.903842303935651e-05
daedric armor,0.00028551635978473367
dark,0.0044032324634610065
dark uncanny,0.000619069008096759
detailed painting,0.0022059214228411957
detailed portrait,0.002512142587790018
detailed ultra,0.002344544878113152
details intricate,0.0003490541906839602
detective pikachu,0.00030555305468830864
deviantart,0.0035585044147021004
deviantart hyperrealistic,0.0007318876178352726
deviantart realistic,0.0016724516520168022
digital art,0.0032251956935965423
digital painting,0.004275249178157936
digital render,1.6730802130018607e-05
